job_number,subject_of_procurement,procuring_entity,entity_code,attr_of_procurement,procurement_type,tender_awarding_type,tenderer_name,total_tender_awarding_value,amount_range,tender_awarding_date,start_end_date
560300002,103年核能事故後取樣、傳送與分析演練計畫案,台灣電力股份有限公司,3.13.31,<勞務類>8676技術檢定與分析服務,限制性招標(未經公開評選或公開徵求),最低標,行政院原子能委員會核能研究所,970000,未達公告金額,1/21/2014 0:00:00,103/01/21－104/01/20
008-0000017-4,161kV2000mm2交連PE電纜及附屬器材(材料)增購,台灣電力股份有限公司,3.13.31,"<財物類>463絕緣電線,電纜及光纖電纜",限制性招標(未經公開評選或公開徵求),最低標,華新麗華股份有限公司,13839638,公告金額以上未達查核金額,2/19/2014 0:00:00,103/02/19－103/02/28
3500200258,ASCO電磁閥,台灣電力股份有限公司第一核能發電廠,3.13.31.81,<財物類>469其他電力設備及零件,限制性招標(經公開評選或公開徵求),最低標,巨路國際股份有限公司,1308000,公告金額以上未達查核金額,1/6/2014 0:00:00,103/01/06－103/07/05
3520200159,(NuclearCLASS1E)PropertyProcurementOfImprovementRadatioMonitorSystem,TaiwanPowerCompanyThirdNuclearPowerStation,3.13.31.83,<財物類>482做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器;工業程序控制設備;上述各項之零件及附件,公開招標,最低標,國防部軍備局中山科學研究院電子系統研究所,182000000,巨額,1/10/2014 0:00:00,103/01/11－107/06/13
4950200037,花蓮分隊轄區線路租用直昇機活線礙子清洗暨巡視、人員搭載及器材吊運工作,台灣電力股份有限公司花東供電區營運處,3.13.31.99,<勞務類>97其他服務,公開招標,最低標,凌天航空股份有限公司,7847400,公告金額以上未達查核金額,1/15/2014 0:00:00,103/01/15－103/12/31
4800200148,161KV鐵塔NDa230M鐵塔混凝土基礎等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,381981,未達公告金額,1/3/2014 0:00:00,103/01/03－103/02/02
tpc-00905-2011S-103007,進口煤海上運輸印尼及澳洲地區計4航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,BIT MARITIME LIMITED ( 海瀧 ),89367696,巨額,2/24/2014 0:00:00,103/02/24－103/05/19
tpc-00905-2011S-103007,進口煤海上運輸印尼及澳洲地區計4航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,"KAWASAKI KISEN KAISHA, LTD.(台灣川崎)",89367696,巨額,2/24/2014 0:00:00,103/02/24－103/05/26
tpc-00905-2011S-103007,進口煤海上運輸印尼及澳洲地區計4航次,台灣電力股份有限公司,3.13.31,<勞務類>72水上運輸服務,選擇性招標(建立合格廠商名單後續邀標),最低標,KUANG MING (LIBERIA) CORP. (光明-賴比瑞亞),89367696,巨額,2/24/2014 0:00:00,103/02/24－103/05/02
4700200114,161KV鐵塔DD等乙批,台灣電力股份有限公司,3.13.31,<財物類>462電力傳輸、控制設備及其零件,選擇性招標(建立合格廠商名單後續邀標),最低標,台灣鐵塔股份有限公司,2890000,公告金額以上未達查核金額,12/27/2013 0:00:00,102/12/27－103/02/25
